marca,name,price,link,image,scraped_at
marca_79,Playmat Prime Gamegenic - Darth Maul,134.91,https://www.ligaswu.com.br/?view=prod/view&pcode=132426&prod=Playmat Prime Gamegenic - Darth Maul,https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731086067_5522.jpg,2025-12-15T11:49:42.600217
marca_79,Playmat Prime Gamegenic - Darth Maul v2,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134584&prod=Playmat Prime Gamegenic - Darth Maul v2,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762455666_5847.jpg,2025-12-15T11:49:42.600956
marca_79,Playmat Prime Gamegenic - Darth Vader,169.99,https://www.ligaswu.com.br/?view=prod/view&pcode=129506&prod=Playmat Prime Gamegenic - Darth Vader,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484226_4261.jpg,2025-12-15T11:49:42.601959
marca_79,Playmat Prime Gamegenic - Death Star,150.00,https://www.ligaswu.com.br/?view=prod/view&pcode=129507&prod=Playmat Prime Gamegenic - Death Star,https://repositorio.sbrauble.com/arquivos/up/prod/20240209/1707484387_9088.jpg,2025-12-15T11:49:42.601959
marca_79,Playmat Prime Gamegenic - Fett's Firespray,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134587&prod=Playmat Prime Gamegenic - Fett's Firespray,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762456756_2469.jpg,2025-12-15T11:49:42.601959
marca_79,Playmat Prime Gamegenic - Mandalorian,159.90,https://www.ligaswu.com.br/?view=prod/view&pcode=131993&prod=Playmat Prime Gamegenic - Mandalorian,https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726766685_607.jpg,2025-12-15T11:49:42.602955
marca_79,Playmat Prime Gamegenic - Qui-Gon Jinn,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134585&prod=Playmat Prime Gamegenic - Qui-Gon Jinn,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762455733_2956.jpg,2025-12-15T11:49:42.602955
marca_79,Playmat Prime Gamegenic - Rancor,129.90,https://www.ligaswu.com.br/?view=prod/view&pcode=131994&prod=Playmat Prime Gamegenic - Rancor,https://repositorio.sbrauble.com/arquivos/up/prod/20240919/1726767137_2443.jpg,2025-12-15T11:49:42.602955
marca_79,Playmat Prime Gamegenic - Speeder Bike Chase,150.00,https://www.ligaswu.com.br/?view=prod/view&pcode=132428&prod=Playmat Prime Gamegenic - Speeder Bike Chase,https://repositorio.sbrauble.com/arquivos/up/prod/20241108/1731087597_1691.jpg,2025-12-15T11:49:42.603955
marca_79,Playmat Prime Gamegenic - Stormtrooper,199.90,https://www.ligaswu.com.br/?view=prod/view&pcode=134588&prod=Playmat Prime Gamegenic - Stormtrooper,https://repositorio.sbrauble.com/arquivos/up/prod/20251106/1762456864_9517.jpg,2025-12-15T11:49:42.603955
